Detector,Descriptor,Frame_0_1,Frame_1_2,Frame_2_3,Frame_3_4,Frame_4_5,Frame_5_6,Frame_6_7,Frame_7_8,Frame_8_9,Frame_9_10,Frame_10_11,Frame_11_12,Frame_12_13,Frame_13_14,Frame_14_15,Frame_15_16,Frame_16_17,Frame_17_18,Mean,StDev
SHITOMASI,BRISK,13.6919,13.893,14.0112,12.4414,13.2534,15.0278,13.0331,14.2932,11.869,14.4931,11.7916,12.1312,11.6524,12.24,11.7063,12.891,12.6562,11.6754,12.9306,1.05538
SHITOMASI,BRIEF,14.0747,14.6618,20.5809,13.81,13.5519,14.0207,14.0804,15.9985,12.2319,13.7396,12.2943,12.2294,12.7596,12.7102,12.9788,13.1068,13.1247,11.9739,13.7738,1.91804
SHITOMASI,ORB,14.1042,14.0963,20.5083,12.4201,13.5519,14.0207,13.4924,14.5085,12.2319,14.2442,12.3726,12.269,12.8264,12.7102,12.3541,13.1274,13.1247,11.9739,13.552,1.85882
SHITOMASI,FREAK,13.7875,14.4784,14.0112,13.1097,13.1901,14.5029,12.9208,13.7284,12.1509,13.0249,12.2385,12.132,12.2398,12.5302,10.5959,12.8681,13.1113,12.1609,12.9323,0.94153
HARRIS,BRISK,10.9082,11.0081,-11.4731,11.5792,40.8037,12.9945,14.2744,17.6204,nan,-153.93,11.7414,12.245,568.322,7.72144,-13.6263,7.03775,12.5848,-inf,nan,nan
HARRIS,BRIEF,10.9082,11.0081,-11.4731,11.5792,35.3833,13.6217,14.2744,17.6204,nan,20.5862,11.7414,12.245,568.322,7.72144,-13.6263,7.03775,12.5848,25.6763,nan,nan
HARRIS,ORB,10.9082,11.0081,-11.4731,11.5792,35.3833,13.6217,13.497,17.6204,nan,20.5862,11.7414,12.245,568.322,5.85828,-13.6263,7.03775,12.5848,-inf,nan,nan
HARRIS,FREAK,9.74953,11.0081,-11.4731,12.1284,44.9166,13.5907,13.1905,12.9162,0.136149,10.2931,11.7414,12.245,13.4327,12.288,-25.2781,6.79332,12.5848,25.6763,10.33,13.6325
FAST,BRISK,12.3423,13.1183,16.3182,13.9005,-inf,13.5503,12.1008,12.0531,13.1229,13.4741,14.2701,12.532,12.7172,12.501,12.1527,12.7949,11.0198,12.9249,-inf,-nan
FAST,BRIEF,12.6032,13.8956,23.4943,15.354,65.9071,13.9993,12.5003,12.6536,13.4042,14.0253,15.0934,12.7635,12.8506,12.6285,12.6071,13.2463,11.5126,13.2302,16.7649,12.1799
FAST,ORB,12.7505,13.2848,21.9118,14.9226,138.493,14.5967,12.748,12.6541,13.4079,14.0405,14.878,12.6554,12.9406,12.9475,12.6071,12.9527,11.9916,12.9576,20.7078,28.6466
FAST,FREAK,12.4419,13.1701,16.6265,13.7508,-inf,13.3709,12.4629,12.1695,12.9934,13.8308,13.7875,12.6252,12.6532,12.3951,12.6602,13.0124,10.8923,13.0244,-inf,-nan
BRISK,BRISK,14.9608,22.43,17.0887,18.2262,23.7619,21.5031,21.157,18.4506,16.9349,16.5491,15.2435,13.9764,14.941,13.8549,17.0723,12.3867,10.6707,14.2543,16.859,3.46119
BRISK,BRIEF,15.6203,21.5973,19.2786,24.2854,43.4019,56.6699,24.1865,25.0219,20.3938,18.5765,19.8561,18.7751,15.9979,16.2425,14.4821,17.7364,14.923,14.5004,22.3081,10.5547
BRISK,ORB,13.9318,21.0579,17.7002,18.0005,18.6171,20.883,20.8172,18.123,17.7834,16.5146,14.2913,13.5026,14.4927,14.6883,16.6675,12.7603,10.9019,14.1688,16.3834,2.88088
BRISK,FREAK,16.3107,24.0499,17.0289,14.3906,27.3399,20.1864,18.4176,18.8718,19.8712,14.0849,16.9458,13.293,15.3292,15.3533,16.3044,10.6993,10.1288,15.8177,16.9124,4.11104
ORB,BRISK,16.5128,25.9384,18.5308,30.6455,94.5366,27.3427,472.207,13.0029,-inf,-inf,7.21789,-inf,9.55147,36.8252,22.6072,17.1962,20.6887,26.1823,-inf,-nan
ORB,BRIEF,15.431,33.6166,26.5811,22.4427,26.8214,-inf,-inf,42.2489,271.325,38.4629,14.1372,74.7252,17.4717,12.4247,38.7994,17.5182,28.2626,15.7719,-inf,-nan
ORB,ORB,22.07,14.0802,17.4865,38.2308,42.7609,-inf,-inf,18.5268,-inf,-inf,9.34128,-inf,13.2182,-inf,-inf,12.6955,19.761,33.3524,-inf,-nan
ORB,FREAK,12.0569,47.92,11.1077,13.1013,167.629,18.4549,270.047,11.9978,-inf,-inf,9.1509,35.8486,7.17718,54.1773,8.64259,10.5152,186.726,21.3301,-inf,-nan
AKAZE,BRISK,14.179,19.6686,15.0756,16.3527,17.3851,21.7688,20.0142,17.9943,19.4923,13.2651,14.2621,16.7504,13.5388,12.655,14.7362,13.285,11.0492,10.6396,15.6729,3.10765
AKAZE,BRIEF,16.9513,20.0842,15.4815,17.078,18.8246,19.6407,21.1636,19.417,20.9239,16.1119,16.2355,17.8512,14.2872,13.966,15.9084,12.3815,11.2898,10.6983,16.5719,3.08136
AKAZE,ORB,15.2363,17.6241,15.1482,16.9036,18.5204,19.0241,20.0765,17.9964,19.0561,13.491,15.3953,18.6567,13.8098,14.0856,14.9263,12.3761,10.6503,10.876,15.7696,2.79473
AKAZE,FREAK,13.6332,16.6165,15.8476,15.6698,18.4218,20.1249,20.623,18.6144,20.2729,13.5191,13.9338,15.228,13.2293,13.9588,13.7289,12.1432,10.9989,10.1683,15.374,3.07609
AKAZE,AKAZE,13.0421,17.8207,14.9998,15.9509,18.5303,18.8386,18.3421,18.55,19.2124,13.5028,14.0538,16.7793,13.7058,13.6612,14.423,12.2096,10.128,9.98372,15.2074,2.86185
SIFT,BRISK,14.6653,13.0875,14.4884,18.9334,16.3604,12.6039,14.4603,16.3845,14.4752,11.6166,12.8142,12.0178,10.4475,10.644,9.94612,9.89946,8.78839,8.96286,12.8109,2.73582
SIFT,BRIEF,14.4304,14.6328,14.8783,20.794,16.4708,14.9448,14.9868,17.4976,15.3645,11.8755,13.2121,12.1113,11.3797,11.7344,10.0732,9.74405,8.84222,8.96523,13.441,3.07446
SIFT,FREAK,14.6653,14.2166,13.9593,19.2909,16.1923,12.0792,13.5907,15.4731,14.4598,11.6761,12.6711,11.2921,10.5749,9.73354,9.57731,9.62642,8.61572,9.07274,12.5982,2.79431